,0,156,174,269,272,273,305,396,406,457,464,529,554,583,664,679,822,827,831,850,970,978,1015,1062,1106,1132,1138,1184,1201,1205,1208,1222,1225,1229,1284,1298,1315,1327,1330,1336,1337,1349,1366,1369,1371,1387,1388,1401,1403,1409,1419,1428,1429,1452,1453,1455,1463,1464,1467,1474,1477,1543,1557,1569,1584,1585,1590,1593,1594,1607,1612,1615,1619,1632,1642,1645,1648,1649,1654,1660,1661,1663,1664,1669,1675,1676,1678,1679,1680,1682,1687,1690,1691,1694,1695,1704,1709,1712,1714,1715
0,0,502,2590,2801,2194,684,1420,2054,2257,4875,4516,4244,4457,4282,4035,3073,9396,765,3830,1445,3145,3350,9738,3751,1836,9731,4671,4301,9504,3291,3788,4201,3624,5593,3737,5127,7114,784,2072,4330,3053,3637,5163,9699,4026,3678,3145,3584,3836,1279,2317,1290,2698,1886,1886,702,5163,2932,3085,906,4338,7298,914,3450,5202,5202,4458,4173,2726,9321,3492,3909,1374,3272,7395,9392,4613,9664,3450,1109,4200,9449,4751,3538,5174,9589,4613,3858,3237,1089,3974,4268,1226,4389,3951,5602,5220,1255,4089,1054
156,483,0,2823,2888,2080,945,1444,2201,2490,4761,4749,4131,4691,4515,3922,2959,9633,703,4063,1443,3379,3583,9975,3638,1935,9968,4557,4535,9740,3524,3674,4434,3510,5827,3970,5361,7000,531,1958,4216,3287,3870,5397,9935,4260,3565,3379,3471,3723,1304,2550,1665,2585,2120,2120,959,5397,3018,3232,1281,4224,7185,1015,3336,5436,5436,4691,4406,2612,9558,3379,4142,1398,3505,7281,9629,4500,9900,3336,1131,4087,9686,4984,3771,5408,9826,4499,4092,3471,1463,3861,4155,1601,4275,3837,5835,5453,1629,4323,1328
174,2616,2902,0,1944,4468,2930,2076,1381,496,7149,2306,6518,2248,2182,6309,5347,7988,2883,1785,2126,1069,1140,8330,6025,1245,8323,6945,2201,8095,1081,6062,2101,5898,3494,1692,3611,9388,3230,4346,6604,844,1592,3647,8290,1927,5952,1069,5858,6110,2368,481,2780,4972,1041,1041,2947,3647,2073,1808,3008,6612,9572,1899,5724,3694,3694,2248,2073,5000,7913,5766,2580,2030,1304,9669,7984,6887,8255,5724,2002,6474,8041,3454,1461,3658,8181,6887,2530,1161,2680,6248,6542,2319,6663,6225,3502,3670,2532,1880,3298
269,2659,2791,1758,0,4425,2973,1810,753,1373,7106,3431,6476,3372,3088,6266,5304,9011,2617,2638,1860,1953,2405,9353,5982,989,9346,6902,3109,9119,2346,6019,3007,5855,3768,2544,3293,9345,3159,4303,6561,2108,2445,3329,9314,2833,5909,1953,5815,6067,2102,1433,2804,4930,1100,1100,2990,3329,131,630,3116,6569,9529,1942,5681,3368,3368,3373,2979,4957,8936,5723,2075,1764,1991,4360,9008,6844,9279,5681,1736,6431,9064,2917,2346,3340,9204,6844,2024,2045,2956,6205,6499,3107,6620,6182,3768,3386,2971,3022,3345
272,2190,2100,4439,4561,0,1760,3344,3903,4106,2764,6365,2134,6307,6131,1924,1140,11180,2643,5680,3295,4995,5199,11522,1640,3686,11515,2560,6151,11287,5140,1677,6050,1970,7443,5586,6977,5003,1694,209,2219,4903,5487,7013,11483,5876,1567,4995,1473,1862,3236,4167,3074,1047,3736,3736,1776,7013,4691,4925,2356,2227,5187,2814,1339,7052,7052,6308,6022,1075,11105,1382,5759,3298,5122,5284,11176,2502,11448,1339,3029,2089,11233,6601,5387,7024,11373,2502,5708,5087,2873,1863,2228,3010,2278,1840,7451,7070,3038,5939,2134
273,682,969,2916,3128,1764,0,1821,2380,2583,4444,4842,3814,4784,4608,3605,2643,9446,1258,4157,1772,3472,3676,9788,3321,2163,9781,4241,4628,9553,3617,3358,4527,3193,5920,4063,5454,6684,546,1642,3900,3380,3964,5490,9749,4353,3248,3472,3154,3406,1713,2644,1453,2268,2213,2213,45,5490,3259,3412,667,3907,6868,1291,3020,5529,5529,4785,4499,2296,9371,3062,4236,1775,3599,6965,9442,4183,9714,3020,1506,3770,9499,5078,3864,5501,9639,4183,4185,3564,1252,3544,3838,1276,3959,3521,5928,5547,1304,4416,662
305,1313,1367,1927,1829,3247,1709,0,1143,1530,5928,3789,5298,3730,3555,5088,4126,8736,1193,3103,50,2418,2623,9078,4804,877,9071,5724,3574,8844,2564,4841,3474,4677,4789,3009,4314,8167,1735,3125,5383,2326,2910,4350,9039,3299,4731,2418,4637,4889,678,1590,1767,3751,1139,1139,1726,4350,1960,2174,1852,5391,8351,643,4503,4389,4389,3731,3446,3779,8661,4545,3096,61,2545,8448,8733,5666,9004,4503,308,5253,8789,3938,2811,4361,8929,5666,3045,2510,1685,5027,5321,1967,5442,5004,4789,4407,1746,3362,2077
396,1953,2136,1260,809,3804,2267,1156,0,838,6485,3097,5855,3039,2796,5646,4683,8259,1963,2344,1206,1660,1931,8601,5362,236,8594,6281,2816,8366,1872,5398,2715,5234,3647,2251,3172,8724,2504,3682,5940,1635,2151,3208,8561,2541,5289,1660,5195,5447,1448,898,2097,4309,448,448,2283,3208,938,1031,2410,5948,8909,1236,5061,3247,3247,3039,2687,4336,8184,5103,1953,1109,1697,9005,8255,6224,8526,5061,1081,5811,8312,2795,2052,3219,8452,6223,1903,1752,2249,5585,5879,2355,5999,5561,3646,3264,2264,2671,2635
406,2235,2520,453,1512,4086,2549,1630,912,0,6767,2290,6137,2232,2166,5928,4965,7972,2437,1769,1680,1053,1124,8314,5644,776,8307,6563,2186,8079,1065,5680,2085,5516,3478,1676,3367,9006,2848,3964,6222,828,1576,3403,8274,1911,5571,1053,5477,5729,1922,124,2379,4591,572,572,2565,3403,1641,1376,2692,6230,9191,1518,5343,3442,3442,2232,2057,4619,7897,5385,2149,1583,1320,9287,7968,6506,8239,5343,1555,6093,8025,2990,1445,3414,8165,6505,2098,1145,2542,5867,6161,2424,6281,5843,3486,3459,2546,1864,2917
457,4817,4726,7066,7188,2726,4387,5970,6530,6733,0,8992,709,8934,8758,940,2990,13807,5270,8306,5921,7622,7826,14149,1496,6312,14142,1345,8777,13914,7767,1532,8677,4593,10070,8213,9604,3069,4321,2871,739,7530,8113,9640,14109,8503,1338,7622,1415,3059,5863,6793,5701,3687,6363,6363,4403,9640,7317,7551,4983,732,3992,5440,1612,9679,9679,8934,8649,3714,13732,1659,8385,5924,7748,3346,13803,934,14074,1612,5655,1489,13860,9227,8014,9651,14000,1180,8335,7714,5499,981,3074,5637,1876,1001,10078,9696,5665,8566,4760
464,4611,4897,2377,3692,6463,4925,4006,3288,2403,9144,0,8513,114,898,8304,7342,7221,4813,1193,4056,1782,1366,7563,8020,3153,7176,8940,918,6834,1453,8057,903,7893,1843,1306,2327,11383,5225,6341,8599,1687,1279,2363,7524,983,7947,1782,7853,8105,4298,2389,4756,6967,2948,2948,4941,2363,3779,3291,4985,8607,11567,3894,7719,2410,2410,43,920,6995,6654,7761,2961,3960,1956,6394,6721,8882,7393,7719,3932,8469,7274,2171,1628,2374,7032,8882,2771,1874,4657,8243,8537,4296,8658,8220,1812,2386,4509,564,5297
529,4196,4105,6445,6566,2105,3765,5349,5909,6112,720,8371,0,8313,8137,539,2332,13186,4649,7685,5300,7001,7205,13528,875,5691,13521,1228,8156,13293,7146,911,8056,3989,9449,7592,8982,3333,3700,2249,86,6909,7492,9018,13488,7882,717,7001,794,2585,5241,6172,5080,3066,5742,5742,3782,9018,6696,6930,4361,93,3974,4819,1138,9057,9057,8313,8028,3093,13111,1185,7764,5303,7127,3504,13182,842,13453,1138,5034,1017,13239,8606,7393,9030,13379,686,7713,7093,4878,359,2600,5016,1845,548,9457,9075,5044,7944,4139
554,4547,4833,2313,3628,6399,4861,3942,3224,2339,9079,126,8449,0,833,8240,7278,7109,4749,1129,3992,1718,1302,7451,7956,3088,7257,8876,854,6915,1388,7993,839,7828,1829,1242,2263,11319,5160,6277,8535,1623,1215,2299,7412,919,7883,1718,7789,8041,4234,2324,4644,6903,2884,2884,4877,2299,3715,3227,4873,8542,11503,3830,7655,2346,2346,87,855,6931,6735,7697,2897,3896,1892,6330,6802,8818,7377,7655,3867,8405,7162,2106,1564,2310,7113,8818,2707,1810,4544,8179,8473,4184,8594,8156,1798,2322,4397,453,5230
583,4280,4566,2138,3015,6132,4594,3675,2860,2164,8813,812,8182,750,0,7973,7011,7239,4482,639,3725,1209,1197,7581,7689,2822,7574,8609,98,7347,1284,7726,126,7562,1472,648,1589,5733,4893,6010,8268,1518,772,1625,7542,206,7616,1209,7522,7774,3967,2150,4424,6636,2617,2617,4610,1625,3029,2541,4737,8276,11236,3563,7388,1672,1672,755,143,6664,7164,7430,2223,3629,1383,5644,7235,8551,7507,7388,3601,8138,7292,1432,1050,1636,7432,8551,2033,1301,4577,7912,8206,4314,8327,7889,1480,1648,4527,834,4966
664,3993,3903,6242,6364,1902,3563,5147,5706,5909,971,8168,559,8110,7934,0,2068,12983,4446,7483,5098,6798,7002,13325,612,5489,13318,847,7954,13090,6943,663,7853,3670,9246,7389,8780,3070,3497,2083,546,6706,7290,8816,13286,7679,669,6798,746,2136,5039,5970,4877,2863,5539,5539,3579,8816,6494,6728,4159,554,3702,4616,690,8855,8855,8111,7825,2891,12908,736,7562,5101,6925,3351,12979,570,13251,690,4832,566,13036,8404,7190,8827,13176,1186,7511,6890,4675,226,2151,4813,1464,89,9254,8873,4841,7742,3937
679,3097,3007,5346,5468,1148,2667,4251,4810,5013,3007,7272,2377,7214,7038,2117,0,12087,3550,6587,4202,5902,6106,12429,1884,4593,12422,2753,7058,12194,6047,1921,6957,2041,8350,6493,7884,5196,2601,1329,2463,5810,6394,7920,12390,6783,1811,5902,1717,1052,4143,5074,3981,1623,4643,4643,2683,7920,5598,5832,3263,2470,5360,3720,1532,7959,7959,7215,6929,1651,12012,1574,6666,4205,6029,5477,12083,2695,12354,1532,3936,2282,12140,7508,6294,7931,12280,2746,6615,5994,3779,2107,1196,3917,2444,2032,8358,7977,3945,6846,3041
